Class,Accuracy,Correct,Total
skyscraper,96.0,96,100
road,96.0,96,100
motorcycle,95.0,95,100
sunflower,93.0,93,100
keyboard,91.0,91,100
apple,91.0,91,100
skunk,91.0,91,100
aquarium_fish,90.0,90,100
chimpanzee,90.0,90,100
palm_tree,89.0,89,100
tank,89.0,89,100
wardrobe,88.0,88,100
castle,87.0,87,100
bicycle,86.0,86,100
chair,86.0,86,100
train,86.0,86,100
pickup_truck,86.0,86,100
orchid,85.0,85,100
bottle,85.0,85,100
raccoon,85.0,85,100
cloud,84.0,84,100
tractor,83.0,83,100
hamster,82.0,82,100
orange,81.0,81,100
snail,81.0,81,100
television,81.0,81,100
cockroach,81.0,81,100
woman,81.0,81,100
can,81.0,81,100
oak_tree,80.0,80,100
mountain,80.0,80,100
lawn_mower,80.0,80,100
sweet_pepper,79.0,79,100
camel,78.0,78,100
bed,78.0,78,100
mushroom,77.0,77,100
dinosaur,76.0,76,100
dolphin,76.0,76,100
clock,75.0,75,100
bridge,75.0,75,100
plain,75.0,75,100
lion,74.0,74,100
beetle,74.0,74,100
fox,74.0,74,100
cup,74.0,74,100
leopard,73.0,73,100
house,73.0,73,100
butterfly,73.0,73,100
caterpillar,73.0,73,100
tiger,72.0,72,100
pear,72.0,72,100
poppy,72.0,72,100
wolf,71.0,71,100
crab,71.0,71,100
porcupine,70.0,70,100
kangaroo,70.0,70,100
telephone,70.0,70,100
tulip,69.0,69,100
trout,69.0,69,100
elephant,69.0,69,100
bee,67.0,67,100
sea,66.0,66,100
snake,66.0,66,100
willow_tree,65.0,65,100
worm,64.0,64,100
lamp,64.0,64,100
plate,64.0,64,100
shark,63.0,63,100
rabbit,62.0,62,100
ray,62.0,62,100
rocket,61.0,61,100
bus,61.0,61,100
flatfish,60.0,60,100
table,60.0,60,100
lizard,60.0,60,100
spider,59.0,59,100
otter,56.99999999999999,57,100
bowl,56.99999999999999,57,100
crocodile,56.00000000000001,56,100
turtle,56.00000000000001,56,100
streetcar,55.00000000000001,55,100
bear,54.0,54,100
cattle,54.0,54,100
couch,54.0,54,100
whale,52.0,52,100
pine_tree,52.0,52,100
baby,50.0,50,100
maple_tree,49.0,49,100
girl,49.0,49,100
shrew,49.0,49,100
possum,49.0,49,100
beaver,49.0,49,100
squirrel,48.0,48,100
mouse,47.0,47,100
lobster,45.0,45,100
forest,41.0,41,100
rose,38.0,38,100
seal,24.0,24,100
man,20.0,20,100
boy,5.0,5,100
