Class,Accuracy,Correct,Total
apple,97.0,97,100
wardrobe,97.0,97,100
skyscraper,97.0,97,100
motorcycle,97.0,97,100
orange,96.0,96,100
television,96.0,96,100
chimpanzee,96.0,96,100
sunflower,96.0,96,100
lawn_mower,95.0,95,100
keyboard,95.0,95,100
orchid,95.0,95,100
bottle,95.0,95,100
road,95.0,95,100
tank,94.0,94,100
mountain,94.0,94,100
aquarium_fish,94.0,94,100
lion,94.0,94,100
tractor,94.0,94,100
tiger,94.0,94,100
bicycle,94.0,94,100
skunk,93.0,93,100
palm_tree,93.0,93,100
spider,93.0,93,100
bridge,92.0,92,100
wolf,92.0,92,100
cockroach,92.0,92,100
chair,92.0,92,100
train,92.0,92,100
pickup_truck,92.0,92,100
rocket,91.0,91,100
bee,91.0,91,100
hamster,91.0,91,100
plain,91.0,91,100
mushroom,90.0,90,100
trout,90.0,90,100
clock,90.0,90,100
raccoon,90.0,90,100
camel,90.0,90,100
dinosaur,90.0,90,100
cup,89.0,89,100
turtle,89.0,89,100
butterfly,89.0,89,100
can,89.0,89,100
sea,88.0,88,100
worm,88.0,88,100
lizard,88.0,88,100
lamp,88.0,88,100
kangaroo,88.0,88,100
bear,88.0,88,100
cloud,88.0,88,100
elephant,87.0,87,100
beetle,87.0,87,100
castle,87.0,87,100
table,87.0,87,100
sweet_pepper,87.0,87,100
squirrel,87.0,87,100
bed,87.0,87,100
fox,87.0,87,100
pear,87.0,87,100
snail,86.0,86,100
poppy,86.0,86,100
rabbit,84.0,84,100
ray,84.0,84,100
lobster,84.0,84,100
plate,84.0,84,100
leopard,84.0,84,100
tulip,83.0,83,100
whale,83.0,83,100
dolphin,83.0,83,100
crocodile,83.0,83,100
caterpillar,83.0,83,100
streetcar,83.0,83,100
house,83.0,83,100
flatfish,82.0,82,100
telephone,81.0,81,100
snake,81.0,81,100
bus,81.0,81,100
porcupine,81.0,81,100
crab,81.0,81,100
cattle,80.0,80,100
maple_tree,80.0,80,100
couch,79.0,79,100
pine_tree,79.0,79,100
rose,79.0,79,100
beaver,79.0,79,100
shark,78.0,78,100
baby,76.0,76,100
bowl,76.0,76,100
mouse,76.0,76,100
man,76.0,76,100
forest,76.0,76,100
otter,75.0,75,100
oak_tree,75.0,75,100
girl,72.0,72,100
willow_tree,72.0,72,100
shrew,71.0,71,100
seal,70.0,70,100
boy,69.0,69,100
possum,69.0,69,100
woman,68.0,68,100
