Class,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,F1 Score
apple,97,7,9893,3,99.90%,93.27%,97.00%,95.10%
aquarium_fish,94,4,9896,6,99.90%,95.92%,94.00%,94.95%
baby,76,20,9880,24,99.56%,79.17%,76.00%,77.55%
bear,88,23,9877,12,99.65%,79.28%,88.00%,83.41%
beaver,79,30,9870,21,99.49%,72.48%,79.00%,75.60%
bed,87,12,9888,13,99.75%,87.88%,87.00%,87.44%
bee,91,16,9884,9,99.75%,85.05%,91.00%,87.92%
beetle,87,9,9891,13,99.78%,90.62%,87.00%,88.78%
bicycle,94,3,9897,6,99.91%,96.91%,94.00%,95.43%
bottle,95,7,9893,5,99.88%,93.14%,95.00%,94.06%
bowl,76,25,9875,24,99.51%,75.25%,76.00%,75.62%
boy,69,26,9874,31,99.43%,72.63%,69.00%,70.77%
bridge,92,7,9893,8,99.85%,92.93%,92.00%,92.46%
bus,81,11,9889,19,99.70%,88.04%,81.00%,84.38%
butterfly,89,15,9885,11,99.74%,85.58%,89.00%,87.25%
camel,90,9,9891,10,99.81%,90.91%,90.00%,90.45%
can,89,13,9887,11,99.76%,87.25%,89.00%,88.12%
castle,87,8,9892,13,99.79%,91.58%,87.00%,89.23%
caterpillar,83,12,9888,17,99.71%,87.37%,83.00%,85.13%
cattle,80,11,9889,20,99.69%,87.91%,80.00%,83.77%
chair,92,7,9893,8,99.85%,92.93%,92.00%,92.46%
chimpanzee,96,7,9893,4,99.89%,93.20%,96.00%,94.58%
clock,90,7,9893,10,99.83%,92.78%,90.00%,91.37%
cloud,88,7,9893,12,99.81%,92.63%,88.00%,90.26%
cockroach,92,8,9892,8,99.84%,92.00%,92.00%,92.00%
couch,79,18,9882,21,99.61%,81.44%,79.00%,80.20%
crab,81,16,9884,19,99.65%,83.51%,81.00%,82.23%
crocodile,83,19,9881,17,99.64%,81.37%,83.00%,82.18%
cup,89,9,9891,11,99.80%,90.82%,89.00%,89.90%
dinosaur,90,10,9890,10,99.80%,90.00%,90.00%,90.00%
dolphin,83,14,9886,17,99.69%,85.57%,83.00%,84.26%
elephant,87,9,9891,13,99.78%,90.62%,87.00%,88.78%
flatfish,82,13,9887,18,99.69%,86.32%,82.00%,84.10%
forest,76,18,9882,24,99.58%,80.85%,76.00%,78.35%
fox,87,7,9893,13,99.80%,92.55%,87.00%,89.69%
girl,72,40,9860,28,99.32%,64.29%,72.00%,67.92%
hamster,91,10,9890,9,99.81%,90.10%,91.00%,90.55%
house,83,15,9885,17,99.68%,84.69%,83.00%,83.84%
kangaroo,88,12,9888,12,99.76%,88.00%,88.00%,88.00%
keyboard,95,7,9893,5,99.88%,93.14%,95.00%,94.06%
lamp,88,12,9888,12,99.76%,88.00%,88.00%,88.00%
lawn_mower,95,6,9894,5,99.89%,94.06%,95.00%,94.53%
leopard,84,9,9891,16,99.75%,90.32%,84.00%,87.05%
lion,94,6,9894,6,99.88%,94.00%,94.00%,94.00%
lizard,88,25,9875,12,99.63%,77.88%,88.00%,82.63%
lobster,84,18,9882,16,99.66%,82.35%,84.00%,83.17%
man,76,27,9873,24,99.49%,73.79%,76.00%,74.88%
maple_tree,80,33,9867,20,99.47%,70.80%,80.00%,75.12%
motorcycle,97,10,9890,3,99.87%,90.65%,97.00%,93.72%
mountain,94,12,9888,6,99.82%,88.68%,94.00%,91.26%
mouse,76,25,9875,24,99.51%,75.25%,76.00%,75.62%
mushroom,90,13,9887,10,99.77%,87.38%,90.00%,88.67%
oak_tree,75,32,9868,25,99.43%,70.09%,75.00%,72.46%
orange,96,8,9892,4,99.88%,92.31%,96.00%,94.12%
orchid,95,19,9881,5,99.76%,83.33%,95.00%,88.79%
otter,75,30,9870,25,99.45%,71.43%,75.00%,73.17%
palm_tree,93,2,9898,7,99.91%,97.89%,93.00%,95.38%
pear,87,12,9888,13,99.75%,87.88%,87.00%,87.44%
pickup_truck,92,6,9894,8,99.86%,93.88%,92.00%,92.93%
pine_tree,79,14,9886,21,99.65%,84.95%,79.00%,81.87%
plain,91,15,9885,9,99.76%,85.85%,91.00%,88.35%
plate,84,14,9886,16,99.70%,85.71%,84.00%,84.85%
poppy,86,13,9887,14,99.73%,86.87%,86.00%,86.43%
porcupine,81,17,9883,19,99.64%,82.65%,81.00%,81.82%
possum,69,6,9894,31,99.63%,92.00%,69.00%,78.86%
rabbit,84,22,9878,16,99.62%,79.25%,84.00%,81.55%
raccoon,90,10,9890,10,99.80%,90.00%,90.00%,90.00%
ray,84,15,9885,16,99.69%,84.85%,84.00%,84.42%
road,95,8,9892,5,99.87%,92.23%,95.00%,93.60%
rocket,91,12,9888,9,99.79%,88.35%,91.00%,89.66%
rose,79,8,9892,21,99.71%,90.80%,79.00%,84.49%
sea,88,20,9880,12,99.68%,81.48%,88.00%,84.62%
seal,70,31,9869,30,99.39%,69.31%,70.00%,69.65%
shark,78,18,9882,22,99.60%,81.25%,78.00%,79.59%
shrew,71,30,9870,29,99.41%,70.30%,71.00%,70.65%
skunk,93,11,9889,7,99.82%,89.42%,93.00%,91.18%
skyscraper,97,8,9892,3,99.89%,92.38%,97.00%,94.63%
snail,86,8,9892,14,99.78%,91.49%,86.00%,88.66%
snake,81,21,9879,19,99.60%,79.41%,81.00%,80.20%
spider,93,14,9886,7,99.79%,86.92%,93.00%,89.86%
squirrel,87,15,9885,13,99.72%,85.29%,87.00%,86.14%
streetcar,83,14,9886,17,99.69%,85.57%,83.00%,84.26%
sunflower,96,2,9898,4,99.94%,97.96%,96.00%,96.97%
sweet_pepper,87,7,9893,13,99.80%,92.55%,87.00%,89.69%
table,87,11,9889,13,99.76%,88.78%,87.00%,87.88%
tank,94,6,9894,6,99.88%,94.00%,94.00%,94.00%
telephone,81,4,9896,19,99.77%,95.29%,81.00%,87.57%
television,96,8,9892,4,99.88%,92.31%,96.00%,94.12%
tiger,94,10,9890,6,99.84%,90.38%,94.00%,92.16%
tractor,94,7,9893,6,99.87%,93.07%,94.00%,93.53%
