class,accuracy
apple,75.0
aquarium_fish,70.0
baby,40.0
bear,34.0
beaver,41.0
bed,70.0
bee,67.0
beetle,71.0
bicycle,72.0
bottle,66.0
bowl,52.0
boy,36.0
bridge,73.0
bus,59.0
butterfly,74.0
camel,64.0
can,67.0
castle,75.0
caterpillar,56.0
cattle,50.0
chair,86.0
chimpanzee,73.0
clock,59.0
cloud,64.0
cockroach,75.0
couch,47.0
crab,59.0
crocodile,43.0
cup,73.0
dinosaur,57.0
dolphin,53.0
elephant,58.0
flatfish,56.0
forest,59.0
fox,54.0
girl,17.0
hamster,51.0
house,53.0
kangaroo,49.0
keyboard,90.0
lamp,53.0
lawn_mower,83.0
leopard,68.0
lion,56.0
lizard,34.0
lobster,48.0
man,44.0
maple_tree,54.0
motorcycle,90.0
mountain,76.0
mouse,32.0
mushroom,53.0
oak_tree,77.0
orange,87.0
orchid,72.0
otter,30.0
palm_tree,85.0
pear,68.0
pickup_truck,64.0
pine_tree,48.0
plain,76.0
plate,71.0
poppy,60.0
porcupine,66.0
possum,43.0
rabbit,34.0
raccoon,53.0
ray,47.0
road,90.0
rocket,73.0
rose,71.0
sea,73.0
seal,27.0
shark,52.0
shrew,42.0
skunk,82.0
skyscraper,94.0
snail,51.0
snake,58.0
spider,64.0
squirrel,30.0
streetcar,69.0
sunflower,88.0
sweet_pepper,51.0
table,53.0
tank,62.0
telephone,73.0
television,75.0
tiger,73.0
tractor,71.0
train,79.0
trout,71.0
tulip,47.0
turtle,42.0
wardrobe,86.0
whale,69.0
willow_tree,48.0
wolf,58.0
woman,33.0
worm,74.0
