class,precision,recall,f1
apple,0.9036144578313253,0.75,0.8196721311475409
aquarium_fish,0.8235294117647058,0.7,0.7567567567567567
baby,0.449438202247191,0.4,0.42328042328042326
bear,0.5573770491803278,0.34,0.42236024844720493
beaver,0.41836734693877553,0.41,0.41414141414141414
bed,0.5737704918032787,0.7,0.6306306306306306
bee,0.6836734693877551,0.67,0.6767676767676768
beetle,0.5,0.71,0.5867768595041322
bicycle,0.5853658536585366,0.72,0.6457399103139014
bottle,0.7096774193548387,0.66,0.683937823834197
bowl,0.47706422018348627,0.52,0.4976076555023924
boy,0.375,0.36,0.3673469387755102
bridge,0.5572519083969466,0.73,0.6320346320346321
bus,0.5619047619047619,0.59,0.5756097560975609
butterfly,0.49333333333333335,0.74,0.592
camel,0.5517241379310345,0.64,0.5925925925925927
can,0.5,0.67,0.5726495726495727
castle,0.7009345794392523,0.75,0.7246376811594203
caterpillar,0.5833333333333334,0.56,0.5714285714285714
cattle,0.5102040816326531,0.5,0.5050505050505051
chair,0.7747747747747747,0.86,0.8151658767772512
chimpanzee,0.8021978021978022,0.73,0.7643979057591622
clock,0.427536231884058,0.59,0.49579831932773105
cloud,0.8767123287671232,0.64,0.7398843930635838
cockroach,0.78125,0.75,0.7653061224489796
couch,0.5164835164835165,0.47,0.49214659685863876
crab,0.4645669291338583,0.59,0.5198237885462555
crocodile,0.4942528735632184,0.43,0.45989304812834225
cup,0.8488372093023255,0.73,0.7849462365591398
dinosaur,0.6195652173913043,0.57,0.59375
dolphin,0.6708860759493671,0.53,0.5921787709497207
elephant,0.7160493827160493,0.58,0.6408839779005524
flatfish,0.7368421052631579,0.56,0.6363636363636364
forest,0.6145833333333334,0.59,0.6020408163265306
fox,0.627906976744186,0.54,0.5806451612903226
girl,0.2698412698412698,0.17,0.20858895705521474
hamster,0.9107142857142857,0.51,0.6538461538461539
house,0.6162790697674418,0.53,0.5698924731182796
kangaroo,0.5104166666666666,0.49,0.4999999999999999
keyboard,0.7086614173228346,0.9,0.7929515418502202
lamp,0.5888888888888889,0.53,0.5578947368421053
lawn_mower,0.7757009345794392,0.83,0.8019323671497584
leopard,0.5037037037037037,0.68,0.5787234042553191
lion,0.7088607594936709,0.56,0.6256983240223464
lizard,0.3090909090909091,0.34,0.32380952380952377
lobster,0.4444444444444444,0.48,0.4615384615384615
man,0.36666666666666664,0.44,0.4
maple_tree,0.6067415730337079,0.54,0.5714285714285714
motorcycle,0.6122448979591837,0.9,0.728744939271255
mountain,0.7169811320754716,0.76,0.7378640776699028
mouse,0.4507042253521127,0.32,0.37426900584795325
mushroom,0.5463917525773195,0.53,0.5380710659898477
oak_tree,0.5,0.77,0.6062992125984252
orange,0.8055555555555556,0.87,0.8365384615384616
orchid,0.8181818181818182,0.72,0.7659574468085107
otter,0.410958904109589,0.3,0.34682080924855496
palm_tree,0.8173076923076923,0.85,0.8333333333333334
pear,0.7311827956989247,0.68,0.7046632124352332
pickup_truck,0.7901234567901234,0.64,0.7071823204419889
pine_tree,0.6956521739130435,0.48,0.5680473372781065
plain,0.7755102040816326,0.76,0.7676767676767676
plate,0.6228070175438597,0.71,0.663551401869159
poppy,0.7228915662650602,0.6,0.6557377049180328
porcupine,0.5892857142857143,0.66,0.6226415094339622
possum,0.5058823529411764,0.43,0.46486486486486484
rabbit,0.4857142857142857,0.34,0.4
raccoon,0.48623853211009177,0.53,0.5071770334928231
ray,0.5949367088607594,0.47,0.5251396648044693
road,0.8256880733944955,0.9,0.861244019138756
rocket,0.8390804597701149,0.73,0.7807486631016043
rose,0.6826923076923077,0.71,0.696078431372549
sea,0.6952380952380952,0.73,0.7121951219512195
seal,0.36486486486486486,0.27,0.3103448275862069
shark,0.5,0.52,0.5098039215686274
shrew,0.4329896907216495,0.42,0.4263959390862944
skunk,0.6833333333333333,0.82,0.7454545454545455
skyscraper,0.7580645161290323,0.94,0.8392857142857143
snail,0.5795454545454546,0.51,0.5425531914893618
snake,0.35802469135802467,0.58,0.44274809160305345
spider,0.6336633663366337,0.64,0.6368159203980099
squirrel,0.46875,0.3,0.36585365853658536
streetcar,0.5267175572519084,0.69,0.5974025974025975
sunflower,0.9166666666666666,0.88,0.8979591836734694
sweet_pepper,0.6144578313253012,0.51,0.5573770491803278
table,0.6091954022988506,0.53,0.5668449197860963
tank,0.7209302325581395,0.62,0.6666666666666666
telephone,0.5793650793650794,0.73,0.6460176991150441
television,0.6880733944954128,0.75,0.7177033492822965
tiger,0.6347826086956522,0.73,0.6790697674418604
tractor,0.5772357723577236,0.71,0.6367713004484306
train,0.5939849624060151,0.79,0.6781115879828326
trout,0.7319587628865979,0.71,0.7208121827411167
tulip,0.6714285714285714,0.47,0.552941176470588
turtle,0.46153846153846156,0.42,0.4397905759162304
wardrobe,0.8269230769230769,0.86,0.8431372549019608
whale,0.6216216216216216,0.69,0.6540284360189573
willow_tree,0.6575342465753424,0.48,0.5549132947976879
wolf,0.7160493827160493,0.58,0.6408839779005524
woman,0.4583333333333333,0.33,0.38372093023255816
worm,0.6166666666666667,0.74,0.6727272727272727
