epoch,train_loss,test_loss,train_accuracy,test_accuracy,learning_rate,epoch_time
1,3.3027,2.0259,31.54,60.84,0.001000,164.38
2,1.9822,1.6464,61.65,71.72,0.000905,165.40
3,1.7361,1.5162,69.39,76.64,0.000655,165.75
4,1.6144,1.4539,73.49,78.24,0.000346,165.60
5,1.5466,1.4268,75.77,79.24,0.000096,165.61
6,1.5977,1.4761,73.56,77.51,0.001000,165.38
7,1.5597,1.4374,74.72,79.18,0.000976,165.24
8,1.5043,1.4070,76.75,79.47,0.000905,165.82
9,1.4432,1.3845,78.93,80.60,0.000794,165.57
10,1.3931,1.3447,80.72,81.82,0.000655,165.36
11,1.3501,1.3190,82.14,82.51,0.000501,165.60
12,1.3053,1.2971,83.63,83.46,0.000346,165.53
13,1.2750,1.2800,84.88,84.03,0.000207,165.59
14,1.2543,1.2709,85.45,84.37,0.000096,165.66
15,1.2406,1.2669,86.06,84.28,0.000025,165.47
16,1.3308,1.3454,82.57,81.40,0.001000,165.66
17,1.3498,1.3403,81.94,82.29,0.000994,165.26
18,1.3329,1.3351,82.40,81.87,0.000976,165.55
19,1.3154,1.3282,83.38,82.65,0.000946,165.13
20,1.2951,1.3202,83.91,82.69,0.000905,165.74
21,1.2658,1.2939,85.00,83.62,0.000854,165.46
22,1.2027,1.2698,87.35,84.17,0.000794,165.42
23,1.1799,1.2590,87.97,84.57,0.000727,165.46
24,1.1645,1.2488,88.74,85.03,0.000655,165.17
25,1.1444,1.2455,89.42,85.12,0.000579,165.48
26,1.1351,1.2420,89.73,85.15,0.000501,165.87
27,1.1205,1.2322,90.26,85.59,0.000422,165.25
28,1.1089,1.2276,90.72,85.54,0.000346,165.53
29,1.1017,1.2255,90.98,85.61,0.000274,165.44
30,1.0930,1.2242,91.31,85.69,0.000207,165.95
31,1.0843,1.2204,91.45,85.88,0.000147,165.19
32,1.0779,1.2182,91.62,85.90,0.000096,165.53
33,1.0735,1.2154,91.88,86.06,0.000055,165.41
34,1.0720,1.2142,92.04,86.00,0.000025,165.19
35,1.0708,1.2159,92.01,85.92,0.000007,165.76
36,1.1190,1.2644,90.16,84.54,0.001000,165.88
37,1.1323,1.2690,89.49,84.47,0.000998,165.51
38,1.1268,1.2642,89.83,84.60,0.000994,166.02
39,1.1216,1.2557,90.08,84.99,0.000986,165.59
40,1.1150,1.2680,90.28,84.41,0.000976,165.81
41,1.1134,1.2623,90.27,84.83,0.000962,165.69
42,1.1003,1.2596,90.88,84.81,0.000946,165.54
43,1.0964,1.2623,91.06,84.64,0.000926,165.53
44,1.0917,1.2559,91.09,84.84,0.000905,165.28
45,1.0841,1.2507,91.55,84.88,0.000880,165.55
46,1.0777,1.2563,91.74,84.78,0.000854,165.45
47,1.0700,1.2498,91.95,84.84,0.000825,166.05
48,1.0656,1.2487,92.19,85.16,0.000794,165.54
49,1.0518,1.2427,92.59,85.51,0.000761,165.72
50,1.0463,1.2463,92.81,85.44,0.000727,165.62
51,1.0398,1.2426,93.01,85.64,0.000692,165.57
52,1.0315,1.2409,93.31,85.57,0.000655,165.75
53,1.0279,1.2341,93.48,86.00,0.000617,165.75
54,1.0189,1.2359,93.85,85.68,0.000579,165.82
55,1.0141,1.2261,93.96,86.33,0.000540,165.62
56,1.0074,1.2373,94.19,85.80,0.000501,165.45
57,1.0027,1.2300,94.43,85.78,0.000461,165.41
58,0.9954,1.2258,94.78,85.87,0.000422,165.82
59,0.9872,1.2238,95.05,86.05,0.000384,165.49
60,0.9856,1.2186,95.05,85.98,0.000346,165.51
61,0.9784,1.2145,95.35,86.21,0.000309,165.32
62,0.9730,1.2162,95.47,86.21,0.000274,165.76
63,0.9640,1.2129,95.88,86.38,0.000240,165.22
64,0.9632,1.2074,95.77,86.73,0.000207,165.75
65,0.9580,1.2069,96.15,86.66,0.000176,165.67
66,0.9561,1.2028,96.06,86.63,0.000147,165.60
67,0.9548,1.2044,96.17,86.76,0.000121,165.87
68,0.9559,1.2026,96.02,86.86,0.000096,166.00
69,0.9517,1.2032,96.27,86.66,0.000075,165.33
70,0.9499,1.2034,96.35,86.74,0.000055,165.63
71,0.9501,1.2035,96.26,86.78,0.000039,165.59
72,0.9506,1.2030,96.25,86.82,0.000025,165.43
73,0.9520,1.2005,96.21,86.83,0.000015,165.82
74,0.9501,1.2007,96.30,86.92,0.000007,165.50
75,0.9476,1.2014,96.49,86.80,0.000003,165.50
76,0.9692,1.2244,95.67,85.95,0.001000,165.61
77,0.9787,1.2222,95.26,86.01,0.001000,165.70
78,0.9806,1.2266,95.21,86.00,0.000998,165.71
79,0.9807,1.2326,95.08,85.86,0.000997,165.83
80,0.9785,1.2294,95.25,85.92,0.000994,165.79
81,0.9765,1.2326,95.30,85.58,0.000990,165.81
82,0.9749,1.2266,95.44,86.09,0.000986,165.86
83,0.9840,1.2697,95.01,85.00,0.000981,165.70
84,1.0162,1.2811,93.78,84.12,0.000976,165.52
85,1.0216,1.2731,93.59,84.76,0.000969,165.48
86,1.0184,1.2770,93.79,84.88,0.000962,165.77
